iter	Passed	Remaining
1587	16948	3351
1588	16956	3340
1589	16960	3328
1590	16967	3316
1591	16973	3305
1592	16982	3294
1593	16987	3282
1594	16996	3271
1595	17006	3260
1596	17023	3251
1597	17041	3241
1598	17054	3231
1599	17064	3220
1600	17074	3210
1601	17084	3199
1602	17091	3187
1603	17098	3176
1604	17105	3165
1605	17120	3155
1606	17128	3144
1607	17136	3133
1608	17142	3121
1609	17151	3110
1610	17156	3098
1611	17166	3088
1612	17191	3080
1613	17206	3070
1614	17229	3061
1615	17238	3050
1616	17247	3039
1617	17255	3028
1618	17261	3017
1619	17281	3008
1620	17292	2997
1621	17299	2986
1622	17305	2974
1623	17315	2964
1624	17326	2953
1625	17340	2943
1626	17356	2933
1627	17368	2923
1628	17376	2912
1629	17384	2900
1630	17394	2890
1631	17401	2878
1632	17407	2867
1633	17416	2856
1634	17423	2845
1635	17431	2834
1636	17438	2822
1637	17444	2811
1638	17453	2800
1639	17460	2789
1640	17467	2778
1641	17473	2766
1642	17496	2758
1643	17513	2748
1644	17529	2738
1645	17538	2727
1646	17547	2716
1647	17555	2705
1648	17562	2694
1649	17571	2683
1650	17577	2672
1651	17585	2661
1652	17592	2650
1653	17600	2638
1654	17609	2628
1655	17616	2616
1656	17626	2606
1657	17634	2595
1658	17649	2585
1659	17664	2575
1660	17679	2565
1661	17689	2554
1662	17695	2543
1663	17704	2532
1664	17713	2521
1665	17719	2510
1666	17726	2499
1667	17734	2487
1668	17741	2476
1669	17748	2465
